timeindex,AT_electricity,BE_electricity,CH_electricity,CZ_electricity,DE_electricity,FR_electricity,NO_electricity,PL_electricity,SE_electricity,DK_electricity,AT-biomass-bus,BE-biomass-bus,CH-biomass-bus,CZ-biomass-bus,DE-biomass-bus,DK-biomass-bus,FR-biomass-bus,NO-biomass-bus,PL-biomass-bus,SE-biomass-bus
2030-03-31 13:00:00,0,75.2,0,27,0,4.85714285714,53.103567309,83.324099723,50.4483889436,0,0,33.84,0,0,0,0,0,0,37.4958448753,22.7017750246
2030-03-31 14:00:00,0,75.2,0,27,0,4.85714285714,53.103567309,83.324099723,50.4483889436,0,0,33.84,0,0,0,0,0,0,37.4958448753,22.7017750246
2030-03-31 15:00:00,0,75.2,0,27,0,4.85714285714,53.103567309,83.324099723,50.4483889436,0,0,33.84,0,0,0,0,0,0,37.4958448753,22.7017750246
2030-03-31 16:00:00,24.3675,75.2,27,27,25.65,4.85714285714,53.103567309,83.324099723,50.4483889436,36.8444444444,0,33.84,12.15,0,0,16.58,0,0,37.4958448753,22.7017750246
2030-03-31 17:00:00,45.5296710216,75.2,50.4483889436,48.0000001,47.9259694964,4.85714285714,53.103567309,83.324099723,50.4483889436,50.4483889436,0,33.84,22.7017750246,0,0,22.7017750246,0,0,37.4958448753,22.7017750246
2030-03-31 18:00:00,45.5296710216,75.2,50.4483889436,48.0000001,47.9259694964,4.85714285714,53.103567309,83.324099723,50.4483889436,50.4483889436,0,33.84,22.7017750246,0,0,22.7017750246,0,0,37.4958448753,22.7017750246
2030-03-31 19:00:00,45.5296710216,75.2,50.4483889436,48.0000001,47.9259694964,4.85714285714,53.103567309,83.324099723,50.4483889436,50.4483889436,0,33.84,22.7017750246,0,0,22.7017750246,0,0,37.4958448753,22.7017750246
2030-03-31 20:00:00,45.5296710216,75.2,50.4483889436,47.9259694964,47.9259694964,4.85714285714,53.103567309,83.324099723,50.4483889436,50.4483889436,0,33.84,22.7017750246,0,0,22.7017750246,0,0,37.4958448753,22.7017750246
2030-03-31 21:00:00,45.5296710216,75.2,50.4483889436,47.9259694964,47.9259694964,4.85714285714,53.103567309,75.2,50.4483889436,50.4483889436,0,33.84,22.7017750246,0,0,22.7017750246,0,0,33.84,22.7017750246
2030-03-31 22:00:00,45.5296710216,75.2,50.4483889436,45.5296710216,47.9259694964,4.85714285714,53.103567309,75.2,50.4483889436,50.4483889436,0,33.84,22.7017750246,0,0,22.7017750246,0,0,33.84,22.7017750246
2030-03-31 23:00:00,45.5296710216,75.2,50.4483889436,45.5296710216,47.9259694964,4.85714285714,53.103567309,53.103567309,50.4483889436,50.4483889436,0,33.84,22.7017750246,0,0,22.7017750246,0,0,23.8966052891,22.7017750246
2030-04-01 00:00:00,45.5296710216,75.2,50.4483889436,45.5296710216,47.9259694964,4.85714285714,53.103567309,53.103567309,50.4483889436,50.4483889436,0,33.84,22.7017750246,0,0,22.7017750246,0,0,23.8966052891,22.7017750246
2030-04-01 01:00:00,45.5296710216,75.2,50.4483889436,45.5296710216,47.9259694964,4.85714285714,53.103567309,75.2,50.4483889436,50.4483889436,0,33.84,22.7017750246,0,0,22.7017750246,0,0,33.84,22.7017750246
2030-04-01 02:00:00,45.5296710216,75.2,50.4483889436,45.5296710216,47.9259694964,4.85714285714,53.103567309,75.2,50.4483889436,50.4483889436,0,33.84,22.7017750246,0,0,22.7017750246,0,0,33.84,22.7017750246
2030-04-01 03:00:00,45.5296710216,75.2,50.4483889436,45.5296710216,47.9259694964,4.85714285714,53.103567309,75.2,50.4483889436,50.4483889436,0,33.84,22.7017750246,0,0,22.7017750246,0,0,33.84,22.7017750246
2030-04-01 04:00:00,45.5296710216,75.2,50.4483889436,47.9259694964,47.9259694964,4.85714285714,53.103567309,75.2,50.4483889436,50.4483889436,0,33.84,22.7017750246,0,0,22.7017750246,0,0,33.84,22.7017750246
2030-04-01 05:00:00,45.5296710216,75.2,50.4483889436,47.9259694964,47.9259694964,4.85714285714,53.103567309,83.324099723,50.4483889436,50.4483889436,0,33.84,22.7017750246,0,0,22.7017750246,0,0,37.4958448753,22.7017750246
2030-04-01 06:00:00,43.2531874705,75.2,45.5296710216,45.5296710216,45.5296710216,4.85714285714,53.103567309,83.324099723,50.4483889436,47.9259694964,0,33.84,20.4883519597,0,0,21.5666862734,0,0,37.4958448753,22.7017750246
2030-04-01 07:00:00,4.85714285714,75.2,5.11278195489,27,5.11278195489,4.85714285714,53.103567309,83.324099723,50.4483889436,5.38187574199,0,33.84,2.3007518797,0,0,2.42184408389,0,0,37.4958448753,22.7017750246
2030-04-01 08:00:00,4.85714285714,75.2,4.85714285714,27,4.61428571429,4.85714285714,53.103567309,83.324099723,50.4483889436,4.85714285714,0,33.84,2.18571428571,0,0,2.18571428571,0,0,37.4958448753,22.7017750246
2030-04-01 09:00:00,0,75.2,0,27,0,4.85714285714,53.103567309,83.324099723,50.4483889436,0,0,33.84,0,0,0,0,0,0,37.4958448753,22.7017750246
2030-04-01 10:00:00,0,75.2,0,27,0,4.85714285714,53.103567309,83.324099723,50.4483889436,0,0,33.84,0,0,0,0,0,0,37.4958448753,22.7017750246
2030-04-01 11:00:00,0,75.2,0,27,0,4.85714285714,53.103567309,83.324099723,50.4483889436,0,0,33.84,0,0,0,0,0,0,37.4958448753,22.7017750246
2030-04-01 12:00:00,0,75.2,0,27,0,4.85714285714,53.103567309,83.324099723,50.4483889436,0,0,33.84,0,0,0,0,0,0,37.4958448753,22.7017750246
2030-04-01 13:00:00,0,75.2,0,27,0,4.85714285714,53.103567309,83.324099723,50.4483889436,0,0,33.84,0,0,0,0,0,0,37.4958448753,22.7017750246
2030-04-01 14:00:00,0,75.2,0,27,0,4.85714285714,53.103567309,83.324099723,50.4483889436,0,0,33.84,0,0,0,0,0,0,37.4958448753,22.7017750246
2030-04-01 15:00:00,0,75.2,0,27,0,4.85714285714,53.103567309,83.324099723,50.4483889436,0,0,33.84,0,0,0,0,0,0,37.4958448753,22.7017750246
2030-04-01 16:00:00,4.85714285714,75.2,4.85714285714,27,4.61428571429,4.85714285714,53.103567309,83.324099723,50.4483889436,4.85714285714,0,33.84,2.18571428571,0,0,2.18571428571,0,0,37.4958448753,22.7017750246
2030-04-01 17:00:00,30.0000001053,75.2,30.0000001053,30.0000001053,28.5000001,27.075000095,53.103567309,83.324099723,50.4483889436,27.075000095,0,33.84,13.5000000474,0,0,12.1837500428,0,0,37.4958448753,22.7017750246
2030-04-01 18:00:00,30.0000001053,75.2,30.0000001053,30.0000001053,28.5000001,28.5000001,53.103567309,83.324099723,50.4483889436,27.075000095,0,33.84,13.5000000474,0,0,12.1837500428,0,0,37.4958448753,22.7017750246
2030-04-01 19:00:00,28.5000001,75.2,30.0000001053,30.0000001053,28.5000001,27.075000095,53.103567309,83.324099723,50.4483889436,27.075000095,0,33.84,13.5000000474,0,0,12.1837500428,0,0,37.4958448753,22.7017750246
2030-04-01 20:00:00,28.5000001,75.2,30.0000001053,30.0000001053,28.5000001,28.5000001,53.103567309,83.324099723,50.4483889436,27.075000095,0,33.84,13.5000000474,0,0,12.1837500428,0,0,37.4958448753,22.7017750246
2030-04-01 21:00:00,25.65,75.2,27,27,25.65,25.65,53.103567309,75.2,50.4483889436,24.3675,0,33.84,12.15,0,0,10.965375,0,0,33.84,22.7017750246
2030-04-01 22:00:00,25.65,75.2,27,27,25.65,24.3675,53.103567309,46.8698060379,49.3366379347,24.3675,0,33.84,12.15,0,0,10.965375,0,0,21.0914127171,22.2014870706
2030-04-01 23:00:00,24.3675,75.2,27,27,25.65,24.3675,53.103567309,36.8444444444,35.0022222222,24.3675,0,33.84,12.15,0,0,10.965375,0,0,16.58,15.751
2030-04-02 00:00:00,24.3675,75.2,27,27,25.65,24.3675,53.103567309,36.8444444444,35.0022222222,24.3675,0,33.84,12.15,0,0,10.965375,0,0,16.58,15.751
2030-04-02 01:00:00,42.2999999492,75.2,46.8698060379,44.526315736,44.526315736,16.03125,53.103567309,46.8698060379,49.3366379347,46.8698060379,0,33.84,21.0914127171,0,0,21.0914127171,0,0,21.0914127171,22.2014870706
2030-04-02 02:00:00,43.2531874705,75.2,47.9259694964,45.5296710216,45.5296710216,36.8444444444,53.103567309,47.9259694964,50.4483889436,47.9259694964,0,33.84,21.5666862734,0,0,21.5666862734,0,0,21.5666862734,22.7017750246
2030-04-02 03:00:00,53.103567309,75.2,55.8984919042,55.8984919042,53.103567309,50.4483889436,53.103567309,55.8984919042,50.4483889436,50.4483889436,0,33.84,25.1543213569,0,0,22.7017750246,0,0,25.1543213569,22.7017750246
2030-04-02 04:00:00,58.46690522,75.2,55.8984919042,61.9373871515,58.8405177939,61.9373871515,53.103567309,83.324099723,50.4483889436,55.8984919042,0,33.84,25.1543213569,0,0,25.1543213569,0,0,37.4958448753,22.7017750246
2030-04-02 05:00:00,58.46690522,75.2,57.7542175008,63.9935927987,60.7939131588,63.9935927987,53.103567309,83.324099723,50.4483889436,55.8984919042,0,33.84,25.9893978754,0,0,25.1543213569,0,0,37.4958448753,22.7017750246
2030-04-02 06:00:00,58.46690522,75.2,55.8984919042,61.9373871515,58.8405177939,63.9935927987,53.103567309,83.324099723,50.4483889436,55.8984919042,0,33.84,25.1543213569,0,0,25.1543213569,0,0,37.4958448753,22.7017750246
2030-04-02 07:00:00,58.46690522,75.2,55.8984919042,61.9373871515,58.8405177939,63.9935927987,53.103567309,83.324099723,50.4483889436,55.8984919042,0,33.84,25.1543213569,0,0,25.1543213569,0,0,37.4958448753,22.7017750246
2030-04-02 08:00:00,55.8984919042,75.2,55.8984919042,55.8984919042,53.103567309,58.8405177939,53.103567309,83.324099723,50.4483889436,53.103567309,0,33.84,25.1543213569,0,0,23.8966052891,0,0,37.4958448753,22.7017750246
